Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-05-02","3,289","13,975","7.13","32","716","256","5","39","1,729"
"2016-05-03","2,967","9,581","4.49","52","749","277","0","0","1,103"
"2016-05-04","3,598","17,347","8.14","21","695","332","31","36","1,960"
"2016-05-05","3,519","20,235","9.49","26","606","318","26","65","2,152"
"2016-05-06","3,173","16,292","7.66","13","639","169","38","82","1,663"
"2016-05-07","2,512","7,832","3.67","13","667","125","13","29","876"
"2016-05-08","2,848","10,399","4.88","39","682","320","8","1","1,423"
"2016-05-09","3,525","15,901","8.08","33","614","213","29","81","2,020"
"2016-05-10","2,912","7,960","3.73","19","698","261","15","16","1,410"
"2016-05-11","3,247","12,955","6.63","22","625","264","12","40","1,734"
"2016-05-12","2,833","9,098","4.31","20","723","194","34","19","1,215"
"2016-05-13","3,429","15,953","7.99","24","723","210","34","69","1,897"
"2016-05-14","3,833","17,077","8.01","75","315","457","58","22","2,661"
"2016-05-15","2,923","9,449","4.43","44","499","261","34","25","1,505"
"2016-05-16","3,428","14,982","7.56","33","634","327","18","38","2,000"
"2016-05-17","2,608","6,305","2.96","20","740","235","0","0","1,012"
"2016-05-18","3,485","15,392","7.76","31","599","299","21","47","2,022"
"2016-05-19","2,842","7,525","3.53","22","759","298","0","0","1,282"
"2016-05-20","3,491","17,015","8.81","30","732","265","9","56","1,981"
"2016-05-21","3,200","13,067","6.13","38","538","334","16","13","1,730"
"2016-05-22","3,173","13,147","6.17","33","535","362","19","9","1,793"
"2016-05-23","3,244","14,199","7.22","16","694","176","28","63","1,680"
"2016-05-24","2,923","11,889","5.62","29","797","206","22","35","1,352"
"2016-05-25","3,494","16,454","8.22","39","645","242","14","77","1,969"
"2016-05-26","3,344","15,420","7.25","24","605","314","32","47","1,970"
"2016-05-27","3,688","17,462","8.96","25","669","218","40","82","2,229"
"2016-05-28","3,126","11,971","5.62","23","566","335","40","5","1,728"
"2016-05-29","3,214","12,053","5.66","29","454","368","38","6","1,882"
"2016-05-30","3,141","10,567","4.96","32","470","304","54","10","1,733"
"2016-05-31","3,040","11,227","5.8","24","743","208","5","41","1,465"
"2016-06-01","3,167","12,141","6.15","14","712","271","11","26","1,656"
"2016-06-02","3,255","13,844","6.94","27","674","274","7","40","1,771"
"2016-06-03","3,876","19,751","10.14","48","685","291","35","79","2,468"
"2016-06-04","3,205","14,277","6.7","31","528","270","42","34","1,775"
"2016-06-05","2,901","10,250","4.81","24","467","296","23","10","1,478"
"2016-06-06","3,493","17,308","8.63","36","670","200","42","86","2,002"
"2016-06-07","2,849","8,017","3.76","33","675","224","39","11","1,315"
"2016-06-08","3,385","14,115","7.02","35","623","237","27","66","1,936"
"2016-06-09","2,983","12,216","5.75","38","618","248","31","33","1,524"
"2016-06-10","3,556","15,643","8.45","24","692","212","34","74","2,030"
"2016-06-11","2,764","5,972","2.8","3","659","322","0","0","1,266"
"2016-06-12","3,178","13,151","6.17","32","576","251","18","61","1,701"
"2016-06-13","3,368","12,916","6.5","20","673","276","27","50","1,903"
"2016-06-14","2,808","8,281","3.89","18","694","271","16","1","1,293"
"2016-06-15","3,489","16,561","8.27","39","613","335","15","49","2,095"
"2016-06-16","2,997","9,177","4.31","31","670","308","26","7","1,515"
"2016-06-17","3,568","16,543","8.55","35","652","318","27","48","2,142"
"2016-06-18","3,306","12,130","5.69","24","564","350","46","10","1,949"
"2016-06-19","3,583","13,178","6.18","41","485","329","67","39","2,255"
"2016-06-20","3,314","12,358","6.22","17","619","244","24","60","1,869"
"2016-06-21","3,277","14,186","6.7","34","615","284","65","30","1,859"
"2016-06-22","2,892","9,890","4.64","26","628","317","11","5","1,457"
"2016-06-23","3,443","16,591","8.3","31","606","242","48","71","2,004"
"2016-06-24","3,599","16,639","8.5","24","641","186","46","100","2,115"
"2016-06-25","2,553","5,637","2.64","7","670","252","0","0","988"
"2016-06-26","2,851","9,276","4.35","17","591","249","33","12","1,365"
"2016-06-27","3,289","13,348","6.8","19","690","280","8","39","1,788"
"2016-06-28","2,835","8,862","4.16","24","660","306","0","0","1,345"
"2016-06-29","3,364","13,145","6.71","15","666","237","28","59","1,865"
"2016-06-30","2,786","8,665","4.07","19","707","285","0","0","1,263"
"2016-07-01","3,703","16,872","8.76","29","684","286","27","63","2,285"
"2016-07-02","3,733","16,223","7.61","37","532","213","103","101","2,413"
"2016-07-03","3,690","16,266","7.63","36","467","325","80","58","2,393"
"2016-07-04","2,923","11,217","5.26","31","609","269","24","11","1,442"
"2016-07-05","3,134","13,514","6.34","24","623","259","43","43","1,687"
"2016-07-06","2,709","9,442","4.43","22","659","234","5","15","1,154"
"2016-07-07","3,358","17,724","8.69","36","620","184","47","83","1,878"
"2016-07-08","3,558","18,918","9.59","50","694","161","48","115","2,084"
"2016-07-09","2,619","6,204","2.93","6","639","269","0","0","1,083"
"2016-07-10","2,958","9,567","4.49","21","565","278","39","3","1,495"
"2016-07-11","3,481","13,788","6.98","23","653","249","41","56","2,026"
"2016-07-12","2,837","8,028","3.77","19","723","270","9","2","1,310"
"2016-07-13","1,891","931","0.44","2","1,013","46","0","0","170"
"2016-07-14","2,764","7,031","3.3","9","723","226","17","11","1,227"
"2016-07-15","3,271","14,689","7.8","32","835","210","20","58","1,759"
"2016-07-16","3,476","13,514","6.34","40","889","297","84","42","2,155"
"2016-07-17","2,855","8,767","4.11","24","579","248","40","7","1,379"
"2016-07-18","3,360","15,111","7.47","28","625","204","48","66","1,883"
"2016-07-19","3,228","10,978","5.15","28","609","269","87","7","1,813"
"2016-07-20","3,292","13,370","6.76","21","674","199","27","73","1,810"
"2016-07-21","2,887","6,548","3.07","15","678","217","35","27","1,362"
"2016-07-22","4,068","23,542","12.47","75","602","255","25","109","2,661"
"2016-07-23","2,756","9,516","4.46","21","573","254","15","15","1,267"
"2016-07-24","2,881","11,333","5.32","30","514","214","53","21","1,398"
"2016-07-25","3,512","14,349","7.26","29","656","280","46","56","2,099"
"2016-07-26","3,315","9,254","4.34","20","680","265","46","38","1,858"
"2016-07-27","3,186","12,507","6.34","25","708","224","22","42","1,671"
"2016-07-28","2,742","7,424","3.48","21","748","270","9","0","1,222"
"2016-07-29","3,810","17,438","8.94","23","713","249","72","74","2,395"
"2016-07-30","3,606","17,624","8.27","16","539","203","95","101","2,296"
"2016-07-31","3,236","10,754","5.05","19","454","284","66","31","1,885"
